1 - Les femmes exagèrent les problèmes qu'elles rencontrent au travail.
2 -  Les femmes sont trop facilement offensées.
3 -  La plupart des femmes interprètent des remarques innocentes comme étant sexistes.
4 -  Lorsque les femmes perdent face aux hommes dans une compétition équitable, elles se plaignent généralement d'être discriminées.
5 -  Beaucoup de femmes recherchent en réalité des faveurs spéciales, telles que des politiques d'embauche qui les favorisent par rapport aux hommes, sous prétexte de demander "l'égalité".
6 -  Les féministes formulent des demandes tout à fait raisonnables envers les hommes.
7 -  Les féministes ne cherchent pas à ce que les femmes aient plus de pouvoir que les hommes.
8 -  Les femmes cherchent à obtenir du pouvoir en contrôlant les hommes.
9 -  Il y a en réalité très peu de femmes qui prennent plaisir à taquiner les hommes en semblant être disponibles sexuellement puis en refusant les avances masculines.
10 -  Une fois qu'une femme a réussi à obtenir l'engagement d'un homme, elle essaie généralement de le mettre sous étroite surveillance.
11 -  La plupart des femmes ne reconnaissent pas tout ce que les hommes font pour elles.
12 -  Une bonne femme devrait être mise sur un piédestal par son homme.
13 -  Les femmes devraient être chéries et protégées par les hommes.
14 -  Les hommes devraient être prêts à sacrifier leur bien-être pour subvenir financièrement aux besoins des femmes dans leur vie.
15 -  En cas de catastrophe, les femmes n'ont pas besoin d'être secourues en premier.
16 -  Les femmes, comparées aux hommes, tendent à avoir une sensibilité morale supérieure.
17 -  Beaucoup de femmes ont une pureté que peu d'hommes possèdent.
18 -  Les femmes, par rapport aux hommes, tendent à avoir un sens plus raffiné de la culture et du bon goût.
19 -  Chaque homme devrait avoir une femme qu'il adore.
20 -  Les hommes sont complets sans les femmes.
21 -  Peu importe ses réalisations, un homme n'est pas vraiment complet en tant que personne s'il n'a pas l'amour d'une femme.
22 -  Les gens sont souvent vraiment heureux dans la vie sans être impliqués sentimentalement avec un membre du sexe opposé.
